Sr. No.,States/UTs,2015,2016,2017,2018 - Number,2018 - Rank
1,Andhra Pradesh,7524,7851,7564,6998,8
2,Arunachal Pradesh,117,103,103,134,27
3,Assam,2122,2445,2474,2829,18
4,Bihar,4771,4425,5045,6244,9
5,Chhattisgarh,3710,3527,3878,4217,15
6,Goa,302,316,306,248,23
7,Gujarat,7332,7296,6739,7176,7
8,Haryana,4430,4636,4700,4806,13
9,Himachal Pradesh,843,1000,907,926,20
10,Jammu & Kashmir,749,734,765,809,21
11,Jharkhand,2619,2681,3034,3261,17
12,Karnataka,9888,10215,9739,10093,4
13,Kerala,3937,4064,3915,4069,16
14,Madhya Pradesh,8412,8774,9258,9721,5
15,Maharashtra,12009,11780,11220,12098,2
16,Manipur,116,78,107,122,28
17,Meghalaya,153,146,140,165,26
18,Mizoram,50,61,55,39,32
19,Nagaland,23,41,35,35,33
20,Odisha,3855,4036,4372,4861,12
21,Punjab,4357,4584,4139,4479,14
22,Rajasthan,9306,9282,9300,9295,6
23,Sikkim,61,60,60,51,31
24,Tamil Nadu,14524,16092,15061,11375,3
25,Telangana,6569,6617,6110,6051,10
26,Tripura,154,165,153,194,25
27,Uttarakhand,765,801,727,797,22
28,Uttar Pradesh,15218,16164,17706,19364,1
29,West Bengal,5779,6081,5199,5185,11
30,Andaman & Nicobar Islands,22,16,20,18,35
31,Chandigarh,124,144,103,97,29
32,Dadra & Nagar Haveli,36,40,40,52,30
33,Daman & Diu,38,32,36,34,34
34,Delhi,1582,1548,1565,1657,19
35,Lakshadweep,0,1,0,1,36
36,Puducherry,229,235,221,225,24
Total,Total,131726,136071,134796,137726,NA
